UF,Ano/Semana,Casos prováveis de Dengue
Distrito Federal,2024/01 ,"8232"
Goias,2024/01 ,"3527"
Mato Grosso,2024/01 ,"554"
Mato Grosso Do Sul,2024/01 ,"200"
Alagoas,2024/01 ,"65"
Bahia,2024/01 ,"656"
Ceara,2024/01 ,"66"
Maranhao,2024/01 ,"63"
Paraiba,2024/01 ,"54"
Pernambuco,2024/01 ,"78"
Piaui,2024/01 ,"88"
Rio Grande Do Norte,2024/01 ,"118"
Sergipe,2024/01 ,"18"
Acre,2024/01 ,"662"
Amapa,2024/01 ,"140"
Amazonas,2024/01 ,"506"
Para,2024/01 ,"187"
Rondonia,2024/01 ,"89"
Roraima,2024/01 ,"3"
Tocantins,2024/01 ,"33"
Espirito Santo,2024/01 ,"1146"
Minas Gerais,2024/01 ,"16964"
Rio De Janeiro,2024/01 ,"4228"
Sao Paulo,2024/01 ,"7207"
Parana,2024/01 ,"5445"
Rio Grande Do Sul,2024/01 ,"349"
Santa Catarina,2024/01 ,529
Distrito Federal,2024/02 ,"8502"
Goias,2024/02 ,"3898"
Mato Grosso,2024/02 ,"614"
Mato Grosso Do Sul,2024/02 ,"268"
Alagoas,2024/02 ,"59"
Bahia,2024/02 ,"783"
Ceara,2024/02 ,"74"
Maranhao,2024/02 ,"87"
Paraiba,2024/02 ,"93"
Pernambuco,2024/02 ,"58"
Piaui,2024/02 ,"137"
Rio Grande Do Norte,2024/02 ,"120"
Sergipe,2024/02 ,"26"
Acre,2024/02 ,"497"
Amapa,2024/02 ,"210"
Amazonas,2024/02 ,"466"
Para,2024/02 ,"241"
Rondonia,2024/02 ,"96"
Roraima,2024/02 ,"6"
Tocantins,2024/02 ,"49"
Espirito Santo,2024/02 ,"1415"
Minas Gerais,2024/02 ,"21901"
Rio De Janeiro,2024/02 ,"4798"
Sao Paulo,2024/02 ,"9072"
Parana,2024/02 ,"7036"
Rio Grande Do Sul,2024/02 ,"467"
Santa Catarina,2024/02 ,708
Distrito Federal,2024/03 ,"12759"
Goias,2024/03 ,"5140"
Mato Grosso,2024/03 ,"873"
Mato Grosso Do Sul,2024/03 ,"390"
Alagoas,2024/03 ,"60"
Bahia,2024/03 ,"1015"
Ceara,2024/03 ,"102"
Maranhao,2024/03 ,"88"
Paraiba,2024/03 ,"98"
Pernambuco,2024/03 ,"83"
Piaui,2024/03 ,"109"
Rio Grande Do Norte,2024/03 ,"143"
Sergipe,2024/03 ,"16"
Acre,2024/03 ,"463"
Amapa,2024/03 ,"217"
Amazonas,2024/03 ,"606"
Para,2024/03 ,"325"
Rondonia,2024/03 ,"157"
Roraima,2024/03 ,"5"
Tocantins,2024/03 ,"55"
Espirito Santo,2024/03 ,"2007"
Minas Gerais,2024/03 ,"33499"
Rio De Janeiro,2024/03 ,"6984"
Sao Paulo,2024/03 ,"13377"
Parana,2024/03 ,"9657"
Rio Grande Do Sul,2024/03 ,"789"
Santa Catarina,2024/03 ,1114
Distrito Federal,2024/04 ,"18867"
Goias,2024/04 ,"7910"
Mato Grosso,2024/04 ,"1028"
Mato Grosso Do Sul,2024/04 ,"475"
Alagoas,2024/04 ,"68"
Bahia,2024/04 ,"1468"
Ceara,2024/04 ,"142"
Maranhao,2024/04 ,"82"
Paraiba,2024/04 ,"91"
Pernambuco,2024/04 ,"113"
Piaui,2024/04 ,"123"
Rio Grande Do Norte,2024/04 ,"131"
Sergipe,2024/04 ,"16"
Acre,2024/04 ,"356"
Amapa,2024/04 ,"197"
Amazonas,2024/04 ,"377"
Para,2024/04 ,"394"
Rondonia,2024/04 ,"168"
Roraima,2024/04 ,"15"
Tocantins,2024/04 ,"57"
Espirito Santo,2024/04 ,"2466"
Minas Gerais,2024/04 ,"50520"
Rio De Janeiro,2024/04 ,"8984"
Sao Paulo,2024/04 ,"19149"
Parana,2024/04 ,"11740"
Rio Grande Do Sul,2024/04 ,"1251"
Santa Catarina,2024/04 ,1456
Distrito Federal,2024/05 ,"22124"
Goias,2024/05 ,"11660"
Mato Grosso,2024/05 ,"1294"
Mato Grosso Do Sul,2024/05 ,"453"
Alagoas,2024/05 ,"117"
Bahia,2024/05 ,"2687"
Ceara,2024/05 ,"178"
Maranhao,2024/05 ,"130"
Paraiba,2024/05 ,"144"
Pernambuco,2024/05 ,"166"
Piaui,2024/05 ,"213"
Rio Grande Do Norte,2024/05 ,"155"
Sergipe,2024/05 ,"27"
Acre,2024/05 ,"255"
Amapa,2024/05 ,"337"
Amazonas,2024/05 ,"399"
Para,2024/05 ,"611"
Rondonia,2024/05 ,"184"
Roraima,2024/05 ,"7"
Tocantins,2024/05 ,"100"
Espirito Santo,2024/05 ,"3459"
Minas Gerais,2024/05 ,"69595"
Rio De Janeiro,2024/05 ,"11846"
Sao Paulo,2024/05 ,"23087"
Parana,2024/05 ,"12086"
Rio Grande Do Sul,2024/05 ,"1685"
Santa Catarina,2024/05 ,2183
Distrito Federal,2024/06 ,"21655"
Goias,2024/06 ,"13188"
Mato Grosso,2024/06 ,"1501"
Mato Grosso Do Sul,2024/06 ,"563"
Alagoas,2024/06 ,"143"
Bahia,2024/06 ,"3902"
Ceara,2024/06 ,"176"
Maranhao,2024/06 ,"222"
Paraiba,2024/06 ,"156"
Pernambuco,2024/06 ,"237"
Piaui,2024/06 ,"345"
Rio Grande Do Norte,2024/06 ,"213"
Sergipe,2024/06 ,"23"
Acre,2024/06 ,"187"
Amapa,2024/06 ,"379"
Amazonas,2024/06 ,"481"
Para,2024/06 ,"683"
Rondonia,2024/06 ,"229"
Roraima,2024/06 ,"6"
Tocantins,2024/06 ,"106"
Espirito Santo,2024/06 ,"4304"
Minas Gerais,2024/06 ,"83710"
Rio De Janeiro,2024/06 ,"16710"
Sao Paulo,2024/06 ,"31277"
Parana,2024/06 ,"15127"
Rio Grande Do Sul,2024/06 ,"2695"
Santa Catarina,2024/06 ,3863
Distrito Federal,2024/07 ,"21443"
Goias,2024/07 ,"14999"
Mato Grosso,2024/07 ,"1644"
Mato Grosso Do Sul,2024/07 ,"815"
Alagoas,2024/07 ,"252"
Bahia,2024/07 ,"5673"
Ceara,2024/07 ,"203"
Maranhao,2024/07 ,"408"
Paraiba,2024/07 ,"303"
Pernambuco,2024/07 ,"426"
Piaui,2024/07 ,"461"
Rio Grande Do Norte,2024/07 ,"391"
Sergipe,2024/07 ,"51"
Acre,2024/07 ,"139"
Amapa,2024/07 ,"523"
Amazonas,2024/07 ,"462"
Para,2024/07 ,"1060"
Rondonia,2024/07 ,"284"
Roraima,2024/07 ,"22"
Tocantins,2024/07 ,"112"
Espirito Santo,2024/07 ,"6142"
Minas Gerais,2024/07 ,"96798"
Rio De Janeiro,2024/07 ,"22734"
Sao Paulo,2024/07 ,"43734"
Parana,2024/07 ,"20347"
Rio Grande Do Sul,2024/07 ,"4466"
Santa Catarina,2024/07 ,6504
Distrito Federal,2024/08 ,"23123"
Goias,2024/08 ,"17267"
Mato Grosso,2024/08 ,"1903"
Mato Grosso Do Sul,2024/08 ,"817"
Alagoas,2024/08 ,"503"
Bahia,2024/08 ,"10311"
Ceara,2024/08 ,"282"
Maranhao,2024/08 ,"621"
Paraiba,2024/08 ,"630"
Pernambuco,2024/08 ,"754"
Piaui,2024/08 ,"700"
Rio Grande Do Norte,2024/08 ,"748"
Sergipe,2024/08 ,"96"
Acre,2024/08 ,"141"
Amapa,2024/08 ,"592"
Amazonas,2024/08 ,"444"
Para,2024/08 ,"1135"
Rondonia,2024/08 ,"543"
Roraima,2024/08 ,"16"
Tocantins,2024/08 ,"144"
Espirito Santo,2024/08 ,"8514"
Minas Gerais,2024/08 ,"120058"
Rio De Janeiro,2024/08 ,"27102"
